source_id,title,authors,year,source_type,venue,url_or_doi,raw_path,processed_path,tags,relevance_note,filename,methodology,measurement_type,geography,sample_size,key_finding
SRC001,Time Savings When Working from Home,"Aksoy, C. G.; Barrero, J. M.; Bloom, N.; Davis, S. J.; Dolls, M.; Zarate, P.",2023,Working Paper,NBER Working Paper Series,http://www.nber.org/papers/w30866,data/raw/Aksoy2023.pdf,data/processed/Aksoy2023.json,"remote-work,commute-time,productivity,time-allocation,international",Quantifies commute-time savings from remote work across 27 countries and estimates how saved time is reallocated to work vs leisure; critical for measuring labor output effects.,Aksoy2023.pdf,survey,self-reported,International (27 countries),n=34000,Workers save 72 minutes/day on average from commuting; 40% reallocated to work
SRC002,Remote Work Employee Mix and Performance,"Aksoy, C. G.; Bloom, N.; Davis, S. J.; Marino, V.; Özgüzel, C.",2025,Working Paper,Becker Friedman Institute (UChicago),https://bfi.uchicago.edu/working-paper/remote-work-employee-mix-and-performance/,data/raw/Aksoy2025.pdf,data/processed/Aksoy2025.json,"remote-work,productivity,employee-mix,call-center,causal",Natural experiment on fully remote call center workforce showing productivity gains and workforce composition shifts.,Aksoy2025.pdf,natural experiment,objective,United States,n=2000,Fully remote workers 13% more productive but firm attracted different worker profile
SRC003,The Rise of Remote Work: Evidence on Productivity and Preferences from Firm and Worker Surveys,"Bartik, A.; Cullen, Z.; Glaeser, E.; Luca, M.; Stanton, C.",2023,Working Paper,NBER Working Paper Series,https://www.nber.org/papers/w20-138,data/raw/Bartik2023.pdf,data/processed/Bartik2023.json,"remote-work,firm-survey,productivity,preferences,small-business",Firm and worker survey evidence on productivity perceptions and persistence of remote work post-COVID.,Bartik2023.pdf,survey,self-reported,United States,n=10000,45% of workers report higher productivity at home; firms expect 40% remote persistence
SRC004,Hybrid Working from Home Improves Retention without Damaging Performance,"Bloom, N.; Han, R.; Liang, J.",2024,Peer-Reviewed Paper,Nature,https://doi.org/10.1038/s41586-024-07500-2,data/raw/Bloom2024.pdf,data/processed/Bloom2024.json,"hybrid-work,productivity,retention,randomized-control-trial,performance",Randomized control trial showing hybrid work reduces attrition without harming performance; high-quality causal evidence.,Bloom2024.pdf,RCT,objective,China,n=1612,Hybrid work reduced attrition by 33% with no performance loss
SRC005,Productivity and Remote Work,"Bureau of Labor Statistics",2024,Government Report,U.S. Bureau of Labor Statistics,https://www.bls.gov/productivity/articles-and-research/remote-work-productivity.htm,data/raw/BLS2024.pdf,data/processed/BLS2024.json,"remote-work,total-factor-productivity,industry-level,macro,government-data",Industry-level analysis linking remote work share to total factor productivity growth.,BLS2024.pdf,administrative data,objective,United States,industry-level,Industries with higher remote work share showed 1.1% higher TFP growth
SRC006,State of Remote Work 2023,"Buffer",2023,Industry Report,Buffer,https://buffer.com/state-of-remote-work/2023,data/raw/Buffer2023.pdf,data/processed/Buffer2023.json,"remote-work,survey,employee-perceptions,engagement,work-structure",Large global survey on remote worker perceptions of productivity engagement and work structure.,Buffer2023.pdf,survey,self-reported,International,n=3000,98% want to work remotely at least some of the time for rest of career
SRC007,Cisco Global Hybrid Work Study 2025,"Cisco Systems",2025,Industry Report,Cisco,https://www.cisco.com/,data/raw/Cisco2025.pdf,data/processed/Cisco2025.json,"hybrid-work,productivity,wellbeing,organizational-policy,global-survey",Global employer/employee survey reporting self-assessed productivity impacts of hybrid policies.,Cisco2025.pdf,survey,self-reported,International,n=28000,78% report improved wellbeing from hybrid work; 83% say productivity same or better
SRC008,Investigating the Role of Remote Working on Employees' Performance and Well-Being: An Evidence-Based Systematic Review,"Ferrara, B.; Pansini, M.; De Vincenzi, C.; Buonomo, I.; Benevene, P.",2022,Peer-Reviewed Paper,International Journal of Environmental Research and Public Health,https://doi.org/10.3390/ijerph191912373,data/raw/Ferrara2022.pdf,data/processed/Ferrara2022.json,"remote-work,systematic-review,performance,wellbeing,work-life-balance",Systematic review synthesizing empirical findings on remote work's effects on employee performance and wellbeing.,Ferrara2022.pdf,systematic review,mixed,International,k=22 studies,Work-life balance and autonomy key mediators; isolation a consistent risk factor
SRC009,Impact of Working from Home on Employee Productivity in Post COVID-19 Era: The Moderating Role of Organizational Support,"Adomako, K.; Agor, P. A.; Terkpertey, D. T.; Mensah, D.; Akakposu, L. Y.; Dwomoh, A. Y.",2024,Peer-Reviewed Paper,World Journal of Advanced Research and Reviews,https://doi.org/10.30574/wjarr.2024.23.1.2022,data/raw/Adomako2024.pdf,data/processed/Adomako2024.json,"remote-work,productivity,organizational-support,post-covid,moderation",Examines relationship between remote work and productivity with organizational support as moderator.,Adomako2024.pdf,cross-sectional survey,self-reported,Ghana,n=384,Organizational support significantly moderates remote work-productivity relationship
SRC010,Work from Home and Productivity: Evidence from Personnel and Analytics Data on Information Technology Professionals,"Gibbs, M.; Mengel, F.; Siemroth, C.",2023,Peer-Reviewed Paper,Journal of Political Economy Microeconomics,https://doi.org/10.1086/721803,data/raw/Gibbs2023.pdf,data/processed/Gibbs2023.json,"remote-work,productivity,IT-workers,communication-costs,causal",High-frequency personnel data showing productivity declines during full remote shift among IT professionals.,Gibbs2023.pdf,natural experiment,objective,Asia (large IT firm),n=10000,Output per hour fell 8-19%; total hours rose but effective work time declined
SRC011,The Evolution of Work from Home,"Barrero, J. M.; Bloom, N.; Davis, S. J.",2023,Peer-Reviewed Paper,Journal of Economic Perspectives,https://doi.org/10.1257/jep.37.4.1,data/raw/Barrero2023.pdf,data/processed/Barrero2023.json,"remote-work,macro-trends,productivity,WFH-research,survey-data",Macro-level evolution of work-from-home adoption and productivity perceptions.,Barrero2023.pdf,survey + administrative,mixed,United States,n=50000,WFH stabilized at 25-30% of paid workdays; employers and workers learned WFH best practices
SRC012,Remote Staff Hours Fall but Productivity Steady (For Now),"Makridis, C.",2025,Industry Analysis,Gallup/ATUS Analysis,https://www.gallup.com/,data/raw/Makridis2025.pdf,data/processed/Makridis2025.json,"remote-work,hours-worked,productivity,ATUS,macro-analysis",ATUS-based evidence showing reduced hours but steady output per worker via improved job matching.,Makridis2025.pdf,secondary data analysis,objective,United States,ATUS panel,Remote workers average 2.5 fewer hours/week but output per worker unchanged
SRC013,Assessing the Causal Relationship of Remote Work and Employee Productivity – A Study of Corporate Malaysia,"Lim, B. S. W.; Ainin, S.; Zakaria, N.; Foo, S. M.",2025,Peer-Reviewed Paper,Cogent Social Sciences,https://doi.org/10.1080/23311886.2025.2481194,data/raw/Lim2025.pdf,data/processed/Lim2025.json,"remote-work,productivity,organizational-support,technology,Malaysia",PLS-SEM study linking technology availability and wellbeing to productivity under remote work.,Lim2025.pdf,PLS-SEM,self-reported,Malaysia,n=350,Technology availability and employee wellbeing significantly predict productivity
